,item_id,labels,en,es-CO,de,context
0,general-intro1,general,,¡Hola! ¡Estamos encantados de que juegues hoy con nosotros!,,"general-intro1
Final es-co & de translation review complete"
1,general-intro2,general,,"En primer lugar, tienes que elegir a un amigo para que juegue contigo. A medida que completes los diferentes juegos, podrás elegir un accesorio como un sombrero o unas gafas para decorar a tu amigo.",,"general-intro2
Final es-co & de translation review complete"
2,pick-buddy,general,,¡Escoge un amigo para jugar!,,"pick-buddy
Final es-co & de translation review complete. 
When implemented, confirm this phrasing makes sense with the visuals, selection method, etc."
3,general-intro3,general,,"Ahora que ya tienes a tu amigo, queremos explicarte cómo funcionan los juegos.",,"general-intro3
Final es-co & de translation review complete"
4,general-intro4,general,,"Durante los juegos tendrás que escuchar las instrucciones, así que asegúrate de que los altavoces están encendidos y el volumen está a tu gusto. Si necesitas volver a escuchar las instrucciones, presiona el botón del altavoz situado en la esquina superior de la pantalla.",,"general-intro4
Final es-co & de translation review complete"
5,general-intro5,general,,"Puedes elegir tus respuestas de diferentes maneras dependiendo del tipo de tableta u ordenador que estés utilizando. Puedes utilizar un ratón o un panel táctil para hacer clic en tu elección, puedes utilizar las teclas de flecha del teclado o puedes tocar la pantalla si utilizas una tableta. Puedes elegir la forma que más te convenga.

Si tienes alguna duda o necesitas ayuda para empezar, pide ayuda al adulto que esté cerca.",,"general-intro5
Final es-co & de translation review complete"
6,task-finished,general,,Has completado el juego. ¡Gracias!,,"task-finished
Final es-co & de translation review complete"
7,continue-button-text,general,,OK,,"continue-button-text
Final es-co & de translation review complete"
8,close-button-text,general,,Cerrar,,"close-button-text
Final es-co & de translation review complete"
9,general-footer,general,,Haz clic en el botón abajo o presiona <b>CUALQUIER TECLA</b> para continuar,,"general-footer
Final es-co translation review complete.
For DE confirm wording - send screen shot to DE "
10,instructions,general,,instrucciones,,"instructions
Final es-co & de translation review complete"
11,general-encourage,general,,¡Sigue adelante!,,"general-encourage
Final es-co & de translation review complete"
12,feedbackCorrect,general,,¡Genial! Eso es correcto.,,"feedbackCorrect
Final es-co & de translation review complete"
13,feedback-try-again,general,,¡Inténtalo de nuevo!,,"feedback-try-again
Final es-co & de translation review complete"
14,feedback-good-job,general,,¡Bien hecho!,,"feedback-good-job
Final es-co & de translation review complete"
15,feedback-nice-work,general,,¡Muy bien!,,"feedback-nice-work
Final es-co & de translation review complete"
16,replay-button,general,,Presiona el botón del altavoz si deseas que se repita la pregunta.,,"replay-button
Final es-co translation review complete.
For DE confirm ""repeat button"" translation is specific enough"
17,general-fullscreen,general,,Cambiar al modo de pantalla completa,,"general-fullscreen
Final es-co & de translation review complete"
18,general-repeat-instructions,general,,¡Parece que esto es un poco complicado! Repasemos las instrucciones.,,"general-repeat-instructions
"
19,general-keyboard-instructions,general,,"Si quieres usar el teclado para responder una pregunta, haz click en la flecha que ves al lado de la opción que quieres seleccionar.",,"general-keyboard-instructions
"
20,intro-finished,general,,Has terminado las instrucciones. ¡Gracias!,,"intro-finished
"
21,general-exit,general,,Salir,,"general-exit
Final es-co & de translation review complete"
22,task-completion,general,,Has terminado este juego. ¡Gracias!,,"task-completion
Final es-co & de translation review complete"
23,matrix-reasoning-instruct1,matrix-reasoning,,Vamos a mostrarte un rompecabezas. Tu tarea es elegir la mejor pieza para completarlo. ¡Empecemos!,,"matrix-reasoning-instruct1
Es-co complete, de still needs review."
24,matrix-reasoning-instruct2,matrix-reasoning,,¿Ves este gran rompecabezas? Le falta una pieza. ¿Cuál pieza va en el rompecabezas?,,"matrix-reasoning-instruct2
Es-co complete, de still needs review."
25,matrix-reasoning-prompt1,matrix-reasoning,,Escoge el mejor patrón para llenar el espacio en blanco.,,"matrix-reasoning-prompt1
Es-co complete, de still needs review."
26,mental-rotation,mental-rotation,,¿Ves estas dos siluetas? Una va con esta figura. Veamos cuál va con la figura.,,"mental-rotation
Final es-co & de translation review complete"
27,mental-rotation-training-instruct2,mental-rotation,,Veamos si esta figura va con la silueta. Esta figura no va con la silueta.,,"mental-rotation-training-instruct2
Final es-co & de translation review complete"
